Periodo,Regressão,ELM,PIB real (%)
2011Q3,4.916297105369878,5.605223006801712,3.54
2011Q4,4.2439368803982624,2.7586129495072664,2.57
2012Q1,4.4526620825852365,5.002066489752404,1.71
2012Q2,1.65640383922171,3.926035285476684,0.99
2012Q3,3.3073690851437103,4.475259008855227,2.49
2012Q4,1.1100870087240402,2.5977147927030133,2.48
2013Q1,0.08963761102284984,2.9640281553903884,2.72
2013Q2,0.5321898765189346,5.027827426822444,4.02
2013Q3,1.0608780872178905,5.679420016280879,2.76
2013Q4,0.10866245974494149,2.9117500913946373,2.52
2014Q1,0.43264655486978576,0.434983297022979,3.46
2014Q2,1.015149758625883,2.24884676977176,-0.44
2014Q3,1.933238412122737,2.600327812129394,-0.64
2014Q4,1.2540283134244135,-0.6923208345980036,-0.21
2015Q1,0.8374942990050673,0.14027861134747344,-1.59
2015Q2,2.2332911265382087,3.1984725708792556,-2.71
2015Q3,2.6206548949042308,3.2407533500883066,-4.26
2015Q4,0.9119128880613196,-0.01282016588757795,-5.58
2016Q1,1.0158991018447878,-3.9925618994107013,-5.25
2016Q2,2.3950273544781453,1.6781239415594456,-3.4
2016Q3,4.342490704147012,5.513992345729711,-2.68
2016Q4,3.096545062736963,3.392768365091932,-2.49
2017Q1,5.2039468458130695,4.221525945293904,-0.01
2017Q2,4.759255100206293,3.5055686967441937,0.42
2017Q3,6.413842163555187,4.975170276316138,1.41
2017Q4,5.032187124791887,2.1561719123761365,2.12
