Periodo,Regressão,ELM,PIB real (%)
2011Q3,4.916297105369878,5.495887591435165,3.54
2011Q4,4.2439368803982624,4.114533032442934,2.57
2012Q1,4.4526620825852365,4.530588829378394,1.71
2012Q2,1.65640383922171,3.3178231026409435,0.99
2012Q3,3.3073690851437103,2.6587737830882947,2.49
2012Q4,1.1100870087240402,1.226455107102753,2.48
2013Q1,0.08963761102284984,1.389114309000342,2.72
2013Q2,0.5321898765189346,3.23448239824941,4.02
2013Q3,1.0608780872178905,3.7588517506840065,2.76
2013Q4,0.10866245974494149,2.0749986481278784,2.52
2014Q1,0.43264655486978576,3.212014109685848,3.46
2014Q2,1.015149758625883,4.681686229058214,-0.44
2014Q3,1.933238412122737,4.6184502550281294,-0.64
2014Q4,1.2540283134244135,3.184302458515832,-0.21
2015Q1,0.8374942990050673,3.5856035377102806,-1.59
2015Q2,2.2332911265382087,4.440877698263285,-2.71
2015Q3,2.6206548949042308,3.875788766908842,-4.26
2015Q4,0.9119128880613196,1.5335365167352935,-5.58
2016Q1,1.0158991018447878,-2.069035716954698,-5.25
2016Q2,2.3950273544781453,0.6915593855647275,-3.4
2016Q3,4.342490704147012,4.150312548621766,-2.68
2016Q4,3.096545062736963,3.96143777651051,-2.49
2017Q1,5.2039468458130695,3.2752878891325494,-0.01
2017Q2,4.759255100206293,2.667525426406466,0.42
2017Q3,6.413842163555187,1.893433108284441,1.41
2017Q4,5.032187124791887,1.0462805766019532,2.12
